epoch,classification_loss,loss,mAP,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,0.8657470941543579,3.3968372344970703,0.0,2.5310888290405273,1.0981953144073486,3.550137758255005,2.4519410133361816
1,1.0869078636169434,3.3960988521575928,0.0,2.309189558029175,1.0753636360168457,3.2916781902313232,2.216313600540161
2,1.035079836845398,3.11907958984375,0.0,2.084000587463379,1.0416836738586426,2.911808967590332,1.8701249361038208
3,1.013323426246643,2.8413643836975098,0.0,1.8280411958694458,1.006557822227478,2.7250964641571045,1.7185399532318115
4,0.9017878174781799,2.589881658554077,0.0,1.6880930662155151,0.9521885514259338,2.7136597633361816,1.761472463607788
5,0.9242233037948608,2.5413103103637695,0.0,1.6170872449874878,0.9491113424301147,2.469733953475952,1.5206215381622314
6,0.7377014756202698,2.280214309692383,0.37218668451478676,1.5425124168395996,0.649971067905426,2.0856759548187256,1.4357049465179443
7,0.5290167331695557,1.9613549709320068,0.6052825479152071,1.4323381185531616,0.48255565762519836,1.8494699001312256,1.3669137954711914
8,0.41370075941085815,1.8418869972229004,0.6816819565897572,1.428186058998108,0.3639363944530487,1.7514448165893555,1.387507677078247
9,0.37173929810523987,1.6946594715118408,0.6288487461792359,1.3229199647903442,0.405162513256073,1.7804388999938965,1.375276803970337
10,0.33439528942108154,1.613642930984497,0.764963350275159,1.2792478799819946,0.4273153841495514,1.6942007541656494,1.2668852806091309
11,0.352916419506073,1.6292036771774292,0.7561297293598526,1.2762874364852905,0.33456122875213623,1.6127965450286865,1.2782354354858398
12,0.3317662477493286,1.569649338722229,0.7461298393713887,1.2378830909729004,0.3116357922554016,1.685192584991455,1.3735568523406982
13,0.2930894196033478,1.5075393915176392,0.7079939700668758,1.2144500017166138,0.3869397044181824,1.7626078128814697,1.3756670951843262
14,0.2917928397655487,1.4966398477554321,0.7562387382582978,1.2048470973968506,0.2872101366519928,1.5031425952911377,1.2159323692321777
15,0.2858368158340454,1.4326852560043335,0.7544891609622215,1.1468485593795776,0.3056076169013977,1.4947675466537476,1.1891602277755737
16,0.3281415104866028,1.4382507801055908,0.779181632400896,1.1101093292236328,0.2628217339515686,1.3894027471542358,1.1265807151794434
17,0.2996852397918701,1.4463467597961426,0.8005854048661494,1.1466615200042725,0.2745344936847687,1.439136028289795,1.1646015644073486
18,0.2696582078933716,1.3996729850769043,0.7908159475822012,1.1300157308578491,0.2715391516685486,1.4068490266799927,1.1353107690811157
19,0.22760874032974243,1.274654507637024,0.8159435052963327,1.0470458269119263,0.24997180700302124,1.3718219995498657,1.121849775314331
20,0.23494189977645874,1.2643696069717407,0.8266359175622834,1.0294272899627686,0.23806124925613403,1.353079915046692,1.1150189638137817
21,0.2328234314918518,1.2740695476531982,0.8182944989501105,1.041245937347412,0.23068934679031372,1.366694450378418,1.13600492477417
22,0.2284279614686966,1.269283652305603,0.8179559613933424,1.0408564805984497,0.23236767947673798,1.3938591480255127,1.1614911556243896
23,0.20805105566978455,1.162726640701294,0.8089772359175156,0.9546759128570557,0.24295340478420258,1.3782470226287842,1.13529372215271
24,0.22884738445281982,1.257558822631836,0.8112366019882916,1.0287117958068848,0.23930659890174866,1.4581860303878784,1.2188795804977417
25,0.19598019123077393,1.0870369672775269,0.8262089756634305,0.8910560011863708,0.23151466250419617,1.3247830867767334,1.0932683944702148
26,0.21708352863788605,1.2022210359573364,0.8408722861109799,0.9851377010345459,0.21839994192123413,1.3658111095428467,1.147411584854126
27,0.2054249346256256,1.1155765056610107,0.8361139122213216,0.9101510047912598,0.2145935446023941,1.2789008617401123,1.0643070936203003
28,0.2109779566526413,1.147762656211853,0.8312552050719005,0.9367843866348267,0.22466698288917542,1.2754206657409668,1.0507534742355347
29,0.19824424386024475,1.1210225820541382,0.8430269149889842,0.9227777719497681,0.2173347920179367,1.2023193836212158,0.9849840998649597
30,0.2049136757850647,1.1260242462158203,0.823181187344977,0.9211094379425049,0.23868614435195923,1.3509705066680908,1.1122843027114868
31,0.1955152451992035,1.1031550168991089,0.8474227173700325,0.9076398611068726,0.22129544615745544,1.2511281967163086,1.0298328399658203
32,0.19494833052158356,1.0730829238891602,0.8511422644562394,0.8781351447105408,0.2058137208223343,1.226292610168457,1.0204789638519287
33,0.18841029703617096,1.0593301057815552,0.8522727709133331,0.870919942855835,0.21658264100551605,1.2822595834732056,1.0656770467758179
34,0.17910617589950562,1.0240803956985474,0.8597457553491662,0.8449742197990417,0.21035340428352356,1.3114402294158936,1.101086974143982
35,0.18850937485694885,1.0472744703292847,0.8579669345216072,0.858765184879303,0.2050885260105133,1.2310574054718018,1.025968313217163
36,0.16491010785102844,0.9520678520202637,0.8601683374143039,0.7871575951576233,0.2021857649087906,1.183326005935669,0.9811404943466187
37,0.16344058513641357,0.9395134449005127,0.8628073210921141,0.7760728597640991,0.19794872403144836,1.1711735725402832,0.9732246994972229
38,0.16662806272506714,0.940492570400238,0.862070079660326,0.773864209651947,0.19556739926338196,1.1894785165786743,0.9939121007919312
39,0.1710950881242752,0.9450480937957764,0.861583028594876,0.773952841758728,0.19435833394527435,1.1559925079345703,0.9616339802742004
40,0.16362489759922028,0.9005770087242126,0.863324784761521,0.7369520664215088,0.1956351399421692,1.1740655899047852,0.9784306883811951
41,0.18108199536800385,0.9698688387870789,0.8602030255065448,0.788786768913269,0.19510076940059662,1.1797298192977905,0.9846293926239014
42,0.16711494326591492,0.9529378414154053,0.8581090864395475,0.7858233451843262,0.19151943922042847,1.1041007041931152,0.912581205368042
